-12.5 341.7700295100004 350.93345886691856
-37.5 340.8430904293296 351.65688824004354
-62.5 340.38158890990235 352.51038123385433
-87.5 340.33997307737735 353.46826649508404
-112.5 340.67713333001007 354.5063696389505
-137.5 341.35568999209846 355.6017233948301
-162.5 342.3413946711147 356.7323293188326
-187.5 343.6026282882083 357.8769636352539
-212.5 345.10998094255683 359.0150207527164
-237.5 346.83590155445347 360.12638885670265
-262.5 348.7544077558239 361.19135268625524
-287.5 350.84084839988327 362.19051918476566
-312.5 353.0717122923597 363.10476222711094
-337.5 355.4244544364382 363.91518311487346
-362.5 357.72156690012173 364.6030858889505
-387.5 359.80301396581297 365.16249174383665
-412.5 361.68260851342126 365.5998958003222
-437.5 363.37350258981047 365.92133871148206
-462.5 364.8881182472313 366.13239931837103
-487.5 366.23812555080985 366.2381970397331
