-12.5 340.6785929634614 345.8109568678947
-37.5 338.78068395108386 346.2148908475711
-62.5 337.6106184392172 346.79713960155107
-87.5 337.0795738038969 347.51560979654295
-112.5 337.11036401596743 348.3318857755078
-137.5 337.635271453353 349.21046922879714
-162.5 341.1099973454917 350.11817728555155
-187.5 344.8562221338361 353.77982009092153
-212.5 348.7956472324234 357.4690394808346
-237.5 352.8519498588379 361.11412869729025
-262.5 356.9497477829836 364.64080180041964
-287.5 361.0138101935668 367.9714324490066
-312.5 364.9683991227019 371.0243370703194
-337.5 368.7366238958298 373.7130268189956
-362.5 372.063710690677 375.9453950029122
-387.5 374.7759459280266 377.701991681176
-412.5 376.9532532131291 379.03577463745427
-437.5 378.6638766645279 379.99119185643275
-462.5 379.9649546097011 380.6043527729315
-487.5 380.9033935329682 380.9034592703117
