-12.5 341.0722966439029 352.5923964745124
-37.5 339.6096147466442 353.5029663859354
-62.5 338.85260306475817 354.6012080663204
-87.5 338.71760770791684 355.8474809606167
-112.5 339.1317276717234 357.2054981934509
-137.5 340.03081202327047 358.64162463972315
-162.5 341.3578505100313 360.1243220811726
-187.5 343.061680129293 361.6237136940402
-212.5 345.09594429616834 363.11124504324556
-237.5 347.41825645202374 364.5594228085057
-262.5 349.98953221480235 365.9416156157781
-287.5 352.7734625044299 367.23190380891975
-312.5 355.7361050100955 368.40496703777717
-337.5 358.8455402680067 369.4360003922152
-362.5 361.8428018571072 370.3006543673422
-387.5 364.498944272071 370.99356256588675
-412.5 366.8444194882203 371.52768049250966
-437.5 368.9075686416644 371.91478358656474
-462.5 370.7145133738389 372.16548528108433
-487.5 372.2891649066807 372.2892795207646
